Works Sanctioned,,,,,,,,,,,
Sr. No.,Work category,Work,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status
4624,Normal/Others,WS/MP18225/2024-2025/144376-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Shiv baran yadav S/o Late Gola Singh Address Faridpur Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4625,Normal/Others,WS/MP18225/2024-2025/144377-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Abrar Ahmad S/o Ekbal Ahmad Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4626,Normal/Others,WS/MP18225/2024-2025/144378-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sajan S/o Ram Kripal Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4627,Normal/Others,WS/MP18225/2024-2025/144379-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Irfan Ahmad S/o Kabiuddin Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4628,Normal/Others,WS/MP18225/2024-2025/144380-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Bhola Pasi S/o Laleshar, tlri Saiyad sarawa Ke Ghar ke Samne Handpump",28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4629,Normal/Others,WS/MP18225/2024-2025/144381-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Mustak Ahamad S/o Vakil Ahamd Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4630,Normal/Others,WS/MP18225/2024-2025/144382-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Gorelal S/o Shuggan Singh Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4631,Normal/Others,WS/MP18225/2024-2025/144383-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Pappu Singh S/o Late Karan Singh Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4632,Normal/Others,WS/MP18225/2024-2025/144384-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sandeep Singh S/o Smundar Singh Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4633,Normal/Others,WS/MP18225/2024-2025/144385-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Durga Mandir Saiyad Sarawan me Handpump,28-Sep-2024,17-Jan-2025,73913,Physical Inspection
4634,Normal/Others,WS/MP18225/2024-2025/144386-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Panchyat Bhawan Shiv Mandir ke Pass Siriyawan me Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4635,Normal/Others,WS/MP18225/2024-2025/144387-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Man Singh S/o Furti Lal Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4636,Normal/Others,WS/MP18225/2024-2025/144388-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ramraj S/o Mohan Lal Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4637,Normal/Others,WS/MP18225/2024-2025/144389-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sharda Prasad S/o Jhallar Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4638,Normal/Others,WS/MP18225/2024-2025/144390-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Banne Lal S/o Ram Sajivan Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4639,Normal/Others,WS/MP18225/2024-2025/144391-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),RamSukh S/o Jageshwar Prasad Ke Ghar ke Samne Handpump,28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4640,Normal/Others,WS/MP18225/2024-2025/144392-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Umesh Kumar S/o Shri Nath, Kaju Kali Mandir ke pas Hundpump",28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4641,Normal/Others,WS/MP18225/2024-2025/144393-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Mool Chandra S/o Indupal, Mohiuddinpur gaus Ke Ghar ke Samne Handpump",28-Sep-2024,17-Jan-2025,73926,Physical Inspection
4642,Normal/Others,WS/MP18193/2024-2025/144398-Construction of boundary walls of existing public and community buildings,Telangana,MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),EATALA RAJENDER,MALKAJGIRI,Construction of Compound/Protection Wall to proposed Community Hall and Park at Sathya Nagar Citizens Welfare Association in Sy No. 1091 & 1092.,29-Sep-2024,12-Mar-2025,1500000,Physical Inspection
4643,Normal/Others,"WS/MP18235/2024-2025/144416-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),MOHIBBULLAH,RAMPUR,CONSTRUCTION OF CC ROAD AND DRAIN FROM ANGANWARI TOWARDS BHAGU’S HOUSE IN THE VILLAGE OF PRANPUR KA MAJRA BLOCK SAIDNAGAR (I.A. RED Rampur),29-Sep-2024,13-Nov-2024,630819,Physical Inspection
4644,Normal/Others,"WS/MP18235/2024-2025/144418-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),MOHIBBULLAH,RAMPUR,CONSTRUCTION OF CC ROAD AND DRAIN FROM MADARSA TOWARDS  RIYASAT ’S HOUSE IN THE VILLAGE OF AHMADPUR BLOCK SAIDNAGAR (I.A. RED Rampur),29-Sep-2024,13-Nov-2024,323053,Physical Inspection
4645,Normal/Others,"WS/MP18235/2024-2025/144419-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),MOHIBBULLAH,RAMPUR,CONSTRUCTION OF CC ROAD AND DRAIN FROM SULEMAN’S HOUSE TOWARDS  RIYASAT ’S HOUSE IN THE VILLAGE OF AHMADPUR BLOCK SAIDNAGAR (I.A. RED Rampur),29-Sep-2024,13-Nov-2024,585781,Physical Inspection
4646,Normal/Others,"WS/MP18235/2024-2025/144420-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),MOHIBBULLAH,RAMPUR,CONSTRUCTION OF CC ROAD AND DRAIN FROM MAIN ROAD TOWARDS  AKBAR ALI ’S HOUSE IN THE VILLAGE OF SINGNI BLOCK SAIDNAGAR (I.A. RED Rampur),29-Sep-2024,13-Nov-2024,586039,Physical Inspection
4647,Normal/Others,WS/MP18011/2025-2026/144431-Construction of community centers and community halls,Andhra Pradesh,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,"Construction of Community Hall in Putchakayalamada (V), Pattikonda (M), Kurnool Dt. Under MPLADS funds, 2024-25",29-Sep-2024,28-Apr-2025,2998485,Physical Inspection
4648,Normal/Others,WS/MP393/2024-2025/144442-Installing community drinking water plants,Tamil Nadu,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Shri Karti P Chidambaram,SIVAGANGA,"Providing in (MPLADS 2021-22) R.O.Plant near Gowri Vinayagar Kovil, Thambipatti, Thirupathur Town Panchayat",04-Oct-2024,09-Oct-2024,350000,Physical Inspection
4649,Normal/Others,WS/MP18172/2025-2026/144452-Construction of common work sheds/ common covered sitting area,Rajasthan,PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),MANNA LAL RAWAT,UDAIPUR(ST),construction of teen shed in GSSS keshriyawad,29-Sep-2024,18-Jul-2025,500000,Physical Inspection
4650,Normal/Others,WS/MP18225/2024-2025/144536-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Chandra Shekhar S/o Arun Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4651,Normal/Others,WS/MP18225/2024-2025/144537-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Dhara Pradhan S/o Ram Sumare Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4652,Normal/Others,WS/MP18225/2024-2025/144538-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Bhaiya Lal S/o VIpat Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4653,Normal/Others,WS/MP18225/2024-2025/144539-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Anil Maurya S/o Musmmi Lal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4654,Normal/Others,WS/MP18225/2024-2025/144540-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Amrit Lal S/o Ram Khelawan, Ram Dayalpur Ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4655,Normal/Others,WS/MP18225/2024-2025/144541-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Charan SIngh S/o Ram Badhaur, Gegahi Ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4656,Normal/Others,WS/MP18225/2024-2025/144542-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Deepak Yadav S/o Ram Singh Urf Naga Pahalwan, Ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4657,Normal/Others,WS/MP18225/2024-2025/144543-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Shiv Mohan S/o Virendra, Fadilabad Ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4658,Normal/Others,WS/MP18225/2024-2025/144544-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Dinesh Kumar S/o DharmPal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4659,Normal/Others,WS/MP18225/2024-2025/144545-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Chandesh Kumar S/o Radhe Shyam Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73926,Physical Inspection
4660,Normal/Others,WS/MP18225/2024-2025/144546-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sukhlal S/o Moti Lal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4661,Normal/Others,WS/MP18225/2024-2025/144547-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Faijan Ahamad S/o Mohd Anish Ahamad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4662,Normal/Others,WS/MP18225/2024-2025/144548-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Mahendra Yadav S/o Moti Lal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4663,Normal/Others,WS/MP18225/2024-2025/144549-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Nathu Ram Yadav S/o Mahadev Yadav Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4664,Normal/Others,WS/MP18225/2024-2025/144550-Installing tube-wells and borewells,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Amir Badhur S/o VIjay Badhaur Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4665,Normal/Others,WS/MP18225/2024-2025/144551-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Anwar Ahamad S/o Saruuddin Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4666,Normal/Others,WS/MP18225/2024-2025/144552-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sandeep Diwakar S/o Narayan Lal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4667,Normal/Others,WS/MP18225/2024-2025/144553-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Dharmraj S/o SHiv Mangal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4668,Normal/Others,WS/MP18225/2024-2025/144554-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Jubair Ahamad S/o Mohad Ahamad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4669,Normal/Others,WS/MP18225/2024-2025/144555-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Shahjade S/o Lautan Ali Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4670,Normal/Others,WS/MP18225/2024-2025/144556-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Keshav Prasad S/o Rameshwar Prasad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4671,Normal/Others,WS/MP18225/2024-2025/144557-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Mohad Abdulla S/o Hidayat Ali , yusufpur Ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4672,Normal/Others,WS/MP18225/2024-2025/144558-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Surendra Kumar S/o Rajaram Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4673,Normal/Others,WS/MP18225/2024-2025/144559-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ram Babu S/o Pyare Lal Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4674,Normal/Others,WS/MP18225/2024-2025/144560-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ram Prakash S/o Bhairav Prasad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4675,Normal/Others,WS/MP18225/2024-2025/144561-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Rajendra kumar S/o Jhurai Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4676,Normal/Others,WS/MP18225/2024-2025/144593-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Amit Kumar S/o Sury Prakash Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4677,Normal/Others,WS/MP18225/2024-2025/144594-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ankit Kumar S/o Rajendra Prasad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4678,Normal/Others,WS/MP18225/2024-2025/144595-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Atul Kumar S/o Rajendra Kumar Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4679,Normal/Others,WS/MP18225/2024-2025/144596-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Bhola Prasad S/o Kallu ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4680,Normal/Others,WS/MP18225/2024-2025/144597-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Foolchandra S/o Shardha Prasad Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4681,Normal/Others,WS/MP18225/2024-2025/144598-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Lavkush S/o Ram sharan Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4682,Normal/Others,WS/MP18225/2024-2025/144599-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Manish Yadav S/o Indrapal ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4683,Normal/Others,WS/MP18225/2024-2025/144600-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Mohd Hasin S/o Mohd Hasib Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4684,Normal/Others,WS/MP18225/2024-2025/144601-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Rajesh Kumar S/o Shivbaran ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4685,Normal/Others,WS/MP18225/2024-2025/144602-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ram Prasad S/o Prem chand Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4686,Normal/Others,WS/MP18225/2024-2025/144603-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Ram chandra S/o Jangli ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4687,Normal/Others,WS/MP18225/2024-2025/144604-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Shailendra Kumar S/o Ram Surmen Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4688,Normal/Others,WS/MP18225/2024-2025/144605-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Shivbabu S/o Gayadeen Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4689,Normal/Others,WS/MP18225/2024-2025/144606-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Suresh S/o Lallu Pasi ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4690,Normal/Others,WS/MP18225/2024-2025/144607-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Virendra Yadav S/o Rajendra Shrivastav Ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4691,Normal/Others,WS/MP18225/2024-2025/144608-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Anshar Ali S/o Khalil Ali ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4692,Normal/Others,WS/MP18225/2024-2025/144609-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Chiraunji Lal S/o Lal Man ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4693,Normal/Others,WS/MP18225/2024-2025/144610-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Sachin Kumar S/o Shivakant ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4694,Normal/Others,WS/MP18225/2024-2025/144611-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Lakshaman S/o Vishvnath Pasi ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4695,Normal/Others,WS/MP18225/2024-2025/144612-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Rajesh Yadav S/o Indra Lal ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4696,Normal/Others,WS/MP18225/2024-2025/144613-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Suresh Kumar S/o Shukuru Lal ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4697,Normal/Others,WS/MP18225/2024-2025/144614-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),"Lavkush S/o Shiv Lal, Badhadur Road Charwa ke Ghar ke samane Handpump",29-Sep-2024,17-Jan-2025,73913,Physical Inspection
4698,Normal/Others,WS/MP18225/2024-2025/144615-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Devsharan S/o Shrinath ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73913,Physical Inspection
4699,Normal/Others,WS/MP18225/2024-2025/144616-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Man SIngh S/o Amrit lal ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
4700,Normal/Others,WS/MP18225/2024-2025/144617-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),Surjeet Kumar S/o Hublal ke Ghar ke samane Handpump,29-Sep-2024,17-Jan-2025,73920,Physical Inspection
